,effect,group,term,estimate,std.error,statistic,p.value,conf.low,conf.high,sig,,,,,,,,,,,,,,,,,,,,
1,fixed,NA,(Intercept),6.0182,0.02,297.137,0,5.977,6.059,survive,,,,,,,,,,,,,,,,,,,,
2,fixed,NA,Probability1,0.026,0.002,11.783,0,0.022,0.03,survive,,,,,,,,,,,,,,,,,,,,
3,fixed,NA,Block2-1,-0.026,0.006,-4.33,0,-0.038,-0.014,survive,,,,,,Random,effects:,,,,,,,,,,,,,
4,fixed,NA,Block3-2,-0.0055,0.005,-1.06,0.294,-0.016,0.005,does not survive,,,,,,,Groups,Name,Variance,Std.Dev.,Corr,,,,,,,,,
5,fixed,NA,Block4-3,0.0093,0.004,2.133,0.036,0.001,0.018,does not survive,,,,,,,Participant,1.71E-02,0.130901,,,,,,,,,,,
6,fixed,NA,Block5-4,-0.011,0.006,-1.853,0.069,-0.023,0.001,does not survive,,,,,,,Block2-1,1.19E-03,0.034444,-0.39,,,,,,,,,,
7,fixed,NA,Session1,0.0416,0.005,8.361,0,0.032,0.052,survive,,,,,,,Block3-2,7.73E-04,0.027801,0.06,0.1,,,,,,,,,
8,fixed,NA,Group1,-0.076,0.02,-3.75,0.001,-0.117,-0.035,survive,,,,,,,Block4-3,3.94E-04,0.019845,-0.02,-0.13,0.26,,,,,,,,
9,fixed,NA,Probability1:Block2-1,0.0075,0.003,2.732,0.006,0.002,0.013,does not survive,,,,,,,Block5-4,1.05E-03,0.032398,0.16,-0.16,-0.03,-0.11,,,,,,,
10,fixed,NA,Probability1:Block3-2,0.0049,0.003,1.748,0.08,-0.001,0.01,does not survive,,,,,,,Session1,1.00E-03,0.031631,0.16,-0.08,-0.11,0.09,-0.24,,,,,,
11,fixed,NA,Probability1:Block4-3,0.0228,0.003,7.435,0,0.017,0.029,survive,,,,,,,Probability1,1.67E-04,0.012926,-0.41,-0.02,-0.06,-0.19,0.07,-0.35,,,,,
12,fixed,NA,Probability1:Block5-4,-0.0055,0.003,-1.732,0.083,-0.012,0.001,does not survive,,,,,,,Block2-1:Session1,1.24E-03,0.03517,-0.32,0.48,0.04,-0.09,0.01,0.07,-0.06,,,,
13,fixed,NA,Probability1:Session1,-0.0014,0.002,-0.862,0.393,-0.005,0.002,does not survive,,,,,,,Block3-2:Session1,8.48E-04,0.02912,0,0.07,0.58,-0.04,0.05,-0.07,0.17,-0.2,,,
14,fixed,NA,Block2-1:Session1,-0.017,0.006,-2.787,0.007,-0.029,-0.005,does not survive,,,,,,,Block4-3:Session1,1.12E-03,0.033439,-0.03,-0.07,0.26,0.36,0.04,0,-0.01,0.07,-0.18,,
15,fixed,NA,Block3-2:Session1,-0.0066,0.005,-1.243,0.219,-0.017,0.004,does not survive,,,,,,,Block5-4:Session1,1.58E-03,0.039769,0.43,-0.41,-0.32,-0.25,0.4,-0.13,-0.14,-0.33,-0.17,-0.27,
16,fixed,NA,Block4-3:Session1,-0.0031,0.006,-0.512,0.61,-0.015,0.009,does not survive,,,,,,,Session1:Probability1,6.94E-05,0.008332,0.02,0.19,0.28,0.11,-0.24,-0.41,0.18,0.18,0.06,-0.02,-0.16
17,fixed,NA,Block5-4:Session1,0.0106,0.007,1.535,0.13,-0.003,0.024,does not survive,,,,,,,Residual,3.60E-02,0.189703,,,,,,,,,,,
18,fixed,NA,Probability1:Group1,0.0005,0.002,0.21,0.835,-0.004,0.005,does not survive,,,,,,Number,of,obs:,"80118,",groups:,"Participant,",43,,,,,,,,
19,fixed,NA,Block2-1:Group1,0.0032,0.006,0.54,0.592,-0.009,0.015,does not survive,,,,,,,,,,,,,,,,,,,,
20,fixed,NA,Block3-2:Group1,-0.0086,0.005,-1.665,0.101,-0.019,0.002,does not survive,,,,,,,,,,,,,,,,,,,,
21,fixed,NA,Block4-3:Group1,0.0015,0.004,0.337,0.737,-0.007,0.01,does not survive,,,,,,,,,,,,,,,,,,,,
22,fixed,NA,Block5-4:Group1,-0.0061,0.006,-1.023,0.31,-0.018,0.006,does not survive,,,,,,,,,,,,,,,,,,,,
23,fixed,NA,Session1:Group1,0.0027,0.005,0.533,0.597,-0.007,0.013,does not survive,,,,,,,,,,,,,,,,,,,,
24,fixed,NA,Probability1:Block2-1:Session1,0.0029,0.003,1.066,0.286,-0.002,0.008,does not survive,,,,,,,,,,,,,,,,,,,,
25,fixed,NA,Probability1:Block3-2:Session1,-0.0007,0.003,-0.235,0.814,-0.006,0.005,does not survive,,,,,,,,,,,,,,,,,,,,
26,fixed,NA,Probability1:Block4-3:Session1,0.0021,0.003,0.7,0.484,-0.004,0.008,does not survive,,,,,,,,,,,,,,,,,,,,
27,fixed,NA,Probability1:Block5-4:Session1,-0.0021,0.003,-0.659,0.51,-0.008,0.004,does not survive,,,,,,,,,,,,,,,,,,,,
28,fixed,NA,Probability1:Block2-1:Group1,0.0007,0.003,0.248,0.804,-0.005,0.006,does not survive,,,,,,,,,,,,,,,,,,,,
29,fixed,NA,Probability1:Block3-2:Group1,-0.0102,0.003,-3.604,0,-0.016,-0.005,survive,,,,,,,,,,,,,,,,,,,,
30,fixed,NA,Probability1:Block4-3:Group1,0.0077,0.003,2.512,0.012,0.002,0.014,does not survive,,,,,,,,,,,,,,,,,,,,
31,fixed,NA,Probability1:Block5-4:Group1,0.0007,0.003,0.218,0.828,-0.006,0.007,does not survive,,,,,,,,,,,,,,,,,,,,
32,fixed,NA,Probability1:Session1:Group1,-0.0007,0.002,-0.436,0.665,-0.004,0.003,does not survive,,,,,,,,,,,,,,,,,,,,
33,fixed,NA,Block2-1:Session1:Group1,0.0017,0.006,0.284,0.777,-0.011,0.014,does not survive,,,,,,,,,,,,,,,,,,,,
34,fixed,NA,Block3-2:Session1:Group1,-0.0011,0.005,-0.205,0.838,-0.012,0.01,does not survive,,,,,,,,,,,,,,,,,,,,
35,fixed,NA,Block4-3:Session1:Group1,0.0004,0.006,0.063,0.95,-0.012,0.012,does not survive,,,,,,,,,,,,,,,,,,,,
36,fixed,NA,Block5-4:Session1:Group1,-0.0098,0.007,-1.418,0.162,-0.024,0.004,does not survive,,,,,,,,,,,,,,,,,,,,
37,fixed,NA,Probability1:Block2-1:Session1:Group1,0,0.003,-0.003,0.998,-0.005,0.005,does not survive,,,,,,,,,,,,,,,,,,,,
38,fixed,NA,Probability1:Block3-2:Session1:Group1,0.0001,0.003,0.043,0.966,-0.005,0.006,does not survive,,,,,,,,,,,,,,,,,,,,
39,fixed,NA,Probability1:Block4-3:Session1:Group1,0.0049,0.003,1.586,0.113,-0.001,0.011,does not survive,,,,,,,,,,,,,,,,,,,,
40,fixed,NA,Probability1:Block5-4:Session1:Group1,-0.008,0.003,-2.534,0.011,-0.014,-0.002,does not survive,,,,,,,,,,,,,,,,,,,,
,,,,Variance,,,,,,SD,,,,,,,,,,,,,,,,,,,,
41,ran_pars,Participant,sd__(Intercept),0.0171,,,,,,0.131,,,,,,,,,,,,,,,,,,,,
53,ran_pars,Participant,sd__Block2-1,0.0012,,,,,,0.034,,,,,,,,,,,,,,,,,,,,
64,ran_pars,Participant,sd__Block3-2,0.0008,,,,,,0.028,,,,,,,,,,,,,,,,,,,,
74,ran_pars,Participant,sd__Block4-3,0.0004,,,,,,0.02,,,,,,,,,,,,,,,,,,,,
83,ran_pars,Participant,sd__Block5-4,0.0011,,,,,,0.032,,,,,,,,,,,,,,,,,,,,
91,ran_pars,Participant,sd__Session1,0.001,,,,,,0.032,,,,,,,,,,,,,,,,,,,,
98,ran_pars,Participant,sd__Probability1,0.0002,,,,,,0.013,,,,,,,,,,,,,,,,,,,,
104,ran_pars,Participant,sd__Block2-1:Session1,0.0012,,,,,,0.035,,,,,,,,,,,,,,,,,,,,
109,ran_pars,Participant,sd__Block3-2:Session1,0.0008,,,,,,0.029,,,,,,,,,,,,,,,,,,,,
113,ran_pars,Participant,sd__Block4-3:Session1,0.0011,,,,,,0.033,,,,,,,,,,,,,,,,,,,,
116,ran_pars,Participant,sd__Block5-4:Session1,0.0016,,,,,,0.04,,,,,,,,,,,,,,,,,,,,
118,ran_pars,Participant,sd__Session1:Probability1,0.0001,,,,,,0.008,,,,,,,,,,,,,,,,,,,,
