"","(Intercept)","Probability1","Block2-1","Block3-2","Block4-3","Block5-4","Session1","Group1","Probability1:Block2-1","Probability1:Block3-2","Probability1:Block4-3","Probability1:Block5-4","Probability1:Session1","Block2-1:Session1","Block3-2:Session1","Block4-3:Session1","Block5-4:Session1","Probability1:Group1","Block2-1:Group1","Block3-2:Group1","Block4-3:Group1","Block5-4:Group1","Session1:Group1","Probability1:Block2-1:Session1","Probability1:Block3-2:Session1","Probability1:Block4-3:Session1","Probability1:Block5-4:Session1","Probability1:Block2-1:Group1","Probability1:Block3-2:Group1","Probability1:Block4-3:Group1","Probability1:Block5-4:Group1","Probability1:Session1:Group1","Block2-1:Session1:Group1","Block3-2:Session1:Group1","Block4-3:Session1:Group1","Block5-4:Session1:Group1","Probability1:Block2-1:Session1:Group1","Probability1:Block3-2:Session1:Group1","Probability1:Block4-3:Session1:Group1","Probability1:Block5-4:Session1:Group1"
"AP49828",-0.854687048995506,-0.814666657815011,0.0396897620589238,0.20613295287744,-0.636244598843196,0.120070265270004,-0.878855853782815,0.845097284801252,-0.548841207549731,-0.95286691647079,0.515252332800816,0.622181543120047,1.85945957081304,0.801127653115062,0.248249434882989,0.237753286338443,0.291522385005136,0.821513858891938,-0.0352603364943374,-0.219657769802509,0.736465276752595,-0.127343089104833,0.840288393223423,2.15917183677575,-0.452737511656525,-1.43071442499467,1.06887325441052,0.533277197787208,0.938178000242789,-0.426532329227917,-0.691921026645382,-2.10166909480139,-0.826423141046313,-0.253985170761108,-0.298368050365747,-0.286465286185337,-2.14513965020856,0.449327841812835,1.34337793799532,-1.03286650054832
"BDI85115",-0.437804975012447,0.796787777743998,-0.310412527320146,-0.441126107498084,-0.0916749398620076,0.178357657301624,-0.311211279698313,-0.448845071686721,0.404039903290985,-0.713606261994692,0.157308494668617,0.081413906923713,-0.126609777518582,0.162251511686908,-0.723339316748023,0.56349155064663,0.0146440345520569,0.77186443708517,-0.335465953913261,-0.316946139405214,-0.236854082200292,0.049170855485128,-0.20732482856145,0.0265071706254487,0.238954775981952,-0.479247349006696,0.399858597249996,0.398705369143865,-0.71255339102526,0.174555287972769,0.0720614417616234,-0.145968659799767,0.245816992062157,-0.826134151426501,0.686502100992862,-0.17708916009596,0.0209401411954275,0.237486526915818,-0.490622889513094,0.425523669189506
"CSB15449",0.0651055617112817,-1.39440035312099,-0.155475851695334,1.45272699230766,1.04974784527528,0.128547553061377,-0.0466752196581718,0.0632988636957147,-1.29021851520904,0.475811485699853,0.866982500249257,-0.0655225773125191,0.672972085965837,0.276787031587492,-0.313779510576317,0.818621893271615,0.0783942939421886,-1.8323405883297,-0.226504382715156,2.20163909373096,0.908384187920114,0.000447130483762045,0.00311144615933497,-2.0578228299064,1.91891980132569,-0.579599404787877,0.459785444305468,-1.27325230541368,0.46587236349542,0.864228533823345,-0.0925251624091831,1.43897706630819,0.412945208791319,-0.906871518243272,0.993443052289943,-0.114525982410873,-2.10495278617613,1.9191792892768,-0.561629560714736,0.492610657417532
"CT38369",-0.138519080916625,0.667691354482964,0.783387070328033,0.832485020027103,-1.20583178169714,0.0378207011310079,-0.524161695698846,-0.199917215340854,-0.693283887488903,1.00204872459075,-1.6214284219665,-0.274296862642653,1.36276874601288,0.414057249126738,1.32291561888136,-0.136637438560391,0.0154537851682189,0.627041615145162,0.656932370555941,1.08732469877755,-1.19975349928699,-0.125931304029566,-0.297409510642896,1.02391894697987,0.247074377017624,-0.735470816002254,0.910749957971198,-0.676631817796066,1.01694932917726,-1.71609561216405,-0.240094675536282,1.42597686612546,0.60856775903984,1.12282768551138,-0.251537843541401,-0.148123463589262,1.05900314846165,0.23096141002351,-0.731442692526639,0.889713954173708
"DB17486",0.630506756443584,0.023674101149275,-0.75284281253116,-2.59916507261953,0.129218052035566,0.179330553085892,1.18734225875062,-0.625528252168173,-0.657466554186053,0.875342376637969,-0.736412045522409,-1.21397550647025,-0.0348280587390447,-0.327825234386502,-1.80754877986418,-0.523850288439853,0.301952963266878,-0.0550696775882446,0.755289813673737,2.61547180027203,-0.154613810286077,-0.180492289612668,-1.14779565942944,-0.78680944295982,-0.404736414129602,0.302972858766098,-1.17891348753933,0.72300937514678,-0.892209230450934,0.701160133720878,1.22510108310598,0.0524293406755976,0.397928500843446,1.82650947651869,0.539688107886329,-0.304925752399607,0.833099937692293,0.398638157699663,-0.294388228259099,1.16426654388871
"DD37504",-0.106104241743019,0.194831930297032,-0.108645235781805,0.524885818563066,1.1301290911703,-0.0261944899888166,-0.207046009088412,0.102579791910152,1.15153733689533,-1.79610634734914,1.3400356490945,-1.19322459501854,-0.556621998124138,-1.56637497606878,1.19201896433954,0.134674142962817,0.18389084067652,-0.198808734524849,0.121852183084818,-0.527305737985376,-1.18177338518391,0.0243810105339777,0.203300128169411,0.65284068582575,-0.359551540385742,-0.74612361354378,-0.00384695158550538,-1.14360032952319,1.79548178575438,-1.34320418488269,1.20587395838105,0.602194034001469,1.71757397925305,-1.18818960182839,-0.135918303615734,-0.18330897518223,-0.661976260319251,0.361639936210743,0.74347730669516,0.0108823076961436
"DO12606",-3.81973918532748,-0.688815132244688,4.14623312666341,0.135898585644649,-0.69597256904395,-6.36579228705642,5.21792703087646,3.75762242004583,-1.15548106839131,-0.324877949247328,-0.374356668518228,3.26000853197362,0.190264888889078,0.321319903445839,0.556701770859538,-2.46925075444427,-6.3957035843741,0.617454901927539,-3.96800342648173,-0.140684849423646,0.64393007977932,6.36733464888094,-5.06922672733588,-1.30449364382372,-0.252842615086724,-0.203713088069944,3.37350215769444,1.18790109449662,0.307191995248116,0.254996489989508,-3.23160390533145,-0.203679398434552,-0.312934901736783,-0.568148808499549,2.55485452940792,6.41462365667148,1.31346027713844,0.238497798352917,0.197056783984651,-3.39736994081233
"DV93893",0.445592063258601,1.32710487520289,-1.47983895736311,0.0175857615222542,1.85336679674929,0.0480189313165895,-0.454370452439195,0.342569556361752,-0.18569265744081,-1.16314615117138,1.15166070895183,-0.00621090464667181,0.230553447194473,-0.216654040231418,-0.25291514991998,0.18004298766995,-0.170000735971576,1.10532876076914,-1.014452948192,-0.104541255106056,1.35026690196444,-0.146529935616719,-0.132944864915948,-0.715065003543903,-0.546196384939581,1.26588048752342,-0.819310280527647,-0.226123723819417,-1.17517997250649,1.21542861062959,0.0161609801953157,0.438345065643122,-0.620965611434156,-0.157626971865082,0.590065890740508,-0.300519557878602,-0.651043607294727,-0.548794264976899,1.13908860554956,-0.756605009837488
"EC79302",-0.662038701489677,-0.96504741659536,-0.878323495646203,-1.22092700693526,0.903833226782459,0.283812834740501,-0.0817705228793547,0.652026948273485,-1.738165403611,-0.872766145502451,0.309659389293316,-0.29157662818536,-0.900431931424556,0.812878443521499,-1.18182055761279,-0.542735564402544,0.142666279203581,0.928402695651279,0.846256819909649,1.23706360729293,-0.915297505547928,-0.283344605819817,0.0804999312623758,0.18781979220341,0.653209425204447,0.177338708181581,-1.27694794040798,1.73551214188991,0.871601821699871,-0.276787526630945,0.29127197015043,0.967169250101469,-0.85401652854279,1.18046150496976,0.567540342656459,-0.14322650101365,-0.199959428256153,-0.650021817194277,-0.172748953550329,1.27916593873821
"EF4934",0.35417929926629,-0.297923557779293,-0.46079376102739,-0.582086365907498,0.910465358089027,-0.148084866276028,0.18277914209592,0.28542041808396,-0.538454783197993,0.45779428698284,0.140208698622587,-0.420452138936152,-0.163435203243336,0.96143923972437,-0.822823149568809,1.4932123610161,-0.0483386933715361,-0.495066662868422,-0.0161682342741389,-0.390633497180277,1.20203163227386,-0.281069374426027,0.403740364571256,-0.814272896996192,0.93065158605788,-1.17709872727036,-0.00267942396861454,-0.574109288391583,0.457216881023155,0.144903576052494,-0.390373523397402,0.135202344494556,0.607814678055963,-0.986799847231095,1.30415308242722,-0.230525789100177,-0.788795594081416,0.91623965973224,-1.2181363842707,0.0489723568000025
"ELH64832",0.656298787186316,-1.05378091666765,0.772893391618967,0.780719064358591,-0.706401657611397,-0.0187887282235201,-0.257118658512709,0.427547725382676,-0.154634725554082,0.0284690377733075,-1.51018680944585,0.137434539898422,-1.46449542278317,-0.0617917478757245,0.19963846986934,-1.11067185459331,0.0287894707826842,-1.49324427764142,0.601908984620315,0.42415787864452,-1.09088043133447,-0.133897249730434,0.377519972635956,-1.5017574181227,0.93963315018763,-0.777501513918239,-0.929140126963112,-0.108645287107875,0.0324482538716848,-1.60793927314271,0.1343395322215,-0.989559599094338,0.144593520212051,0.488058026496262,-0.924131867826661,-0.18224714169921,-1.48130143525502,0.922619929722244,-0.760015692846433,-0.989127531803033
"EOL17976",-0.817416343393143,1.46100829973325,0.181006223944523,-0.717536076231013,0.114918097661297,-0.0459097697462093,-0.692711839578873,0.80374664851429,1.15749049093031,1.13169462674786,0.2475181748732,0.919630690926303,0.34954694163427,-0.980022052751813,-1.41843696813485,-1.78091322931986,0.446082418737643,-1.40336545159995,-0.156608652384104,0.724403302761586,-0.108254211999547,0.0403421995743512,0.669657103333486,1.23164438041517,-1.14310186718117,0.586227121756627,0.678600716296,-1.13974109285624,-1.14055110077919,-0.218313906613495,-0.991929602204639,-0.4027686610001,1.10022458760275,1.4200791310013,1.83101508670112,-0.446444266764551,-1.22523475403046,1.13462097542834,-0.62025629442456,-0.664475004178841
"EP57702",-0.426915449306037,0.807477151315957,-0.0176422470118018,0.0814193270644447,1.18917113297665,-0.0971576077869705,-0.114553856219124,-0.455759182146801,-1.22796015020668,-1.36923484994667,3.08863640034357,-1.38043495473369,-0.310870870637171,1.05005702091285,-0.520216105251191,0.991209079311229,0.0132728321694608,0.753968097474966,-0.0227441673787612,0.280859687432418,0.980716940476783,-0.251288830891691,0.0302838804550808,0.217770625943814,1.26640238190293,0.406492529464982,-1.17546022338934,-1.18278657364476,-1.35144021398712,2.97245709075312,-1.37441836623898,-0.322668609420764,1.18169373666695,-0.680281852373305,1.2165300741375,-0.157244080417783,0.16318813026706,1.24757085177991,0.498134977214636,-1.18875101386433
"FP36564",0.0870698296722211,-0.531539167686751,1.033647879909,0.69573305781378,0.249883094840565,-0.0991751956496526,0.854781881506487,0.197325030441079,-1.57883639318256,1.59524609119611,0.373731771763877,-1.00563905614187,0.307523911352183,0.342139679348788,1.21204992121711,-0.666766555179229,0.0236984876318328,-0.581685281286966,0.784845592351803,0.983713851411848,0.0284016118830602,-0.237607320307912,0.545846229180588,-1.67303876734927,1.65138136668313,-0.151099475461163,-0.401547942206505,-1.59092862587604,1.60283505266718,0.387085894390171,-1.04541212865617,0.435879001129043,0.621926781090981,0.990792582052407,-0.52063459434021,-0.163195382618932,-1.67647248124506,1.63793927943187,-0.169812407450629,-0.397763215795979
"FS36906",-0.762659489276502,-0.80077789230887,0.422574765501034,0.555039616865285,1.7947906572466,0.0422248915019606,-0.796975288155723,-0.928194985137871,-0.885411524250417,-0.132094714644551,1.58819104527432,-1.88850195060291,-0.35648394578252,1.29465798801802,0.602504812188753,-0.643011180611873,-0.142410246485855,-0.701726140942039,0.639513598418121,0.698655792487865,1.28376843690854,-0.21849105114869,-0.214588886433641,-0.423565167169327,-0.251776169715198,1.01906773913164,0.169595194823881,-1.01695595580273,-0.129137351718627,1.76363574121523,-1.86603149814762,-0.324659187031093,1.1140766844548,0.493732850609153,-0.0545063414871946,-0.225571340978657,-0.480459105089066,-0.257041889837769,1.07847111279662,0.133328530362153
"FS41243",-1.00015053251892,1.31700568651966,-0.55467466332535,-0.770734576410694,-0.514838222707818,0.285656445313848,-0.265757219675309,0.981916745257167,1.13674780162196,1.04215563681227,-0.149753890291713,0.766066716023718,-1.06493227295397,1.86456484113279,-0.390899463003258,0.963784652522507,0.0878375620005778,-1.28391040319322,0.560869360692081,0.777207080254587,0.522546834488928,-0.286293531595332,0.260818702997819,-1.59029907732998,0.595734617935034,0.391537894593816,-1.37359569675719,-1.11093810702075,-1.05216249906446,0.134194758063514,-0.794412640406097,1.15604300009539,-2.00725576013846,0.38871333695514,-0.991847737635364,-0.0879527324043586,1.58233262971761,-0.603085696963758,-0.392008215827418,1.37867517977062
"GB22001",1.16727845471485,-0.680567542215896,-0.462229658429906,-0.485044822066778,-1.38859800563006,0.0915698992586608,0.710972897559915,-1.15142744455112,0.665170279709202,-1.78663461611123,0.0685893032552469,0.0632142520678042,0.73816234908761,1.30841033992985,-0.446784958070917,1.60729163166693,-0.28219556891528,0.645563431615544,0.4602631098664,0.486408853201363,1.45562977681206,-0.0919938911042443,-0.689998829239073,-0.626199456185257,-0.263886787229845,2.13237507895249,-1.40296654811199,-0.662054157621558,1.78505339764253,-0.0705901044855021,-0.0682602629638754,-0.810655460512552,-1.40538866572513,0.455068708639861,-1.66109873408429,0.284620009542225,0.618305286833249,0.268810596045198,-2.13878131380151,1.41212226565692
"IM17947",1.45592660108831,1.72525803879399,-1.76170003243538,-0.399417237232858,-3.12358992932576,0.587424504530376,0.253770348182897,1.34148641335681,0.892815690018876,1.30191488274309,-2.24879059829264,1.83840186505163,-2.36936961877333,-4.20528345250161,-0.362525026718481,0.568676377948674,-0.419778658062121,0.234353927291131,-2.27514277638585,-0.364843424378753,-1.74609072991253,-0.196227060175196,0.549783309661644,-1.50392477426772,-1.73742379817009,2.34450162416746,0.182625135325559,0.83721079966652,1.29943552419882,-2.1322662703934,1.80403883506978,-0.433925708242675,-3.85353073111846,-0.407253376935626,-0.544780578960481,0.0137754341365048,-1.50756212620213,-1.76018416862289,2.27050182909232,0.30523135690131
"JK77807",-0.830321679963251,0.281008668781792,0.0533174073577308,1.06738949894962,0.16999262891689,0.207620304736748,-0.538256638138474,-0.758596314289599,-1.45904563775049,1.1408056638148,0.372743150113255,-0.297248316289211,-0.463474962850025,-0.042763289969173,1.08802235418313,-0.263546433780015,0.203362498634132,0.870399904816492,1.09877927261166,0.669482316709808,-0.0190907562844915,0.106941115465639,-0.670322778335222,-0.333949402957064,0.717230778202434,-0.195450704506777,0.502754312723952,-1.33660106047664,1.07608151720333,0.158106944808593,-0.277079784880786,-1.49287234556635,-1.10943784536893,1.42076816806248,-0.218820018059769,-0.00792705501247167,-0.342665187971618,0.752167247148354,-0.14839803766842,0.535133029582765
"JO51302",1.94286467775032,-0.993047634539399,-0.022173121823268,1.36576443987395,-0.782356350691394,0.44453106847306,-0.102574728840384,-1.90661128817414,-2.24174426710906,2.07004920075698,-1.79907798045565,-0.0647491884977947,1.83248058340684,-0.173607209626005,0.226731791566022,0.677771965659092,0.217017739185872,1.03104591905445,0.00917482179026943,-1.37959524990646,0.902075708310155,-0.449396963722528,0.0907573767974406,-1.03765130071744,0.584883542421864,1.90753472602905,-1.04523352226177,2.21244035271757,-2.08208149358272,1.90807581382621,0.0225627859195019,-2.03819952600737,0.23320162941104,-0.240708515969934,-0.745725453040095,-0.204431738243299,1.08165073919806,-0.607085915241075,-1.98945651392601,1.19977377602389
"KJ69825",1.31693911201908,0.105122364810036,-0.404644136968364,0.99640684627677,-0.523230788133803,0.0710897946179986,0.849854537125234,-1.29978538546716,-0.513822335853371,1.34099069567324,0.60157790474546,-1.65578181302322,-1.49178366720637,-0.166937913992515,0.617723791458263,1.00350722158321,0.163989267785585,-0.117564238608225,0.396943604513322,-1.01038422689871,0.540947114401525,-0.0703186633452633,-0.824272384994245,0.032866700266575,0.458349104442054,-1.60537833470574,0.174752674495032,0.507470161353854,-1.35869571263992,-0.608130927141932,1.69714030978354,1.61646362089803,0.215299285261162,-0.615337676892188,-1.04051172191371,-0.164766022018377,-0.0165336123201319,-0.446947896752656,1.59451909062045,-0.186370431435824
